Canonical Tag,Category,Severity,Outcome,Recommendation
LEGAL.ACP.Communication,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.ArbitrationDoc,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.BillingRecord,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.BoardLegalAdvice,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.CaseStrategy,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.ClientCommunication,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.ComplianceLegalOpinion,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.ConfidentialExhibit,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.ConflictCheckRecord,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.ContractNegotiation,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.DemandLetter,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.DepositionPrep,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.DiscoveryMaterial,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.EmploymentAgreement,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.EngagementLetter,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.ExpertWitnessDraft,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.FeeArrangement,Legal,MEDIUM,APPROVAL,LLM ADJUDICATION
LEGAL.GrandJuryMaterial,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.IPAssignment,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.InternalInvestigation,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.JudicialOrder,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.LitigationBudget,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.LitigationHold,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.MandALegalRoom,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.MergerAgreement,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.NDAContent,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.PatentApplicationDraft,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.PrivilegeLog,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.RegulatoryResponse,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.SettlementDiscussion,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.SubpoenaResponse,Legal,HIGH,APPROVAL,LLM ADJUDICATION
LEGAL.TermSheet,Legal,HIGH,APPROVAL,HYBRID
LEGAL.TradeSecretDoc,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
LEGAL.WP.Document,Legal,CRITICAL,BLOCK,HYBRID
LEGAL.WhistleblowerComm,Legal,CRITICAL,BLOCK,LLM ADJUDICATION
FIN.ACH.TransactionData,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.AMLInvestigationRecord,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.BeneficialOwnership,Financial,HIGH,APPROVAL,MONITOR
FIN.BoardMinutes,Financial,CRITICAL,BLOCK,MONITOR
FIN.CTRData,Financial,HIGH,APPROVAL,APPROVAL
FIN.CapitalCallNotice,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.CheckData,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.CollateralAgreement,Financial,HIGH,APPROVAL,MONITOR
FIN.ComplianceMonitoringReport,Financial,CRITICAL,BLOCK,APPROVAL
FIN.CounterpartyData,Financial,HIGH,APPROVAL,APPROVAL
FIN.CreditExposureReport,Financial,HIGH,APPROVAL,MONITOR
FIN.CreditReport,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.DealPipelineRecord,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.EarningsGuidance,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.FATCAReportData,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.FINRAExamData,Financial,CRITICAL,BLOCK,APPROVAL
FIN.FundNAV,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.GLBACustomerData,Financial,HIGH,APPROVAL,MONITOR
FIN.InsiderList,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.InvestmentAdvisoryAgreement,Financial,HIGH,APPROVAL,MONITOR
FIN.InvestmentCommitteeNote,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.KYCDocumentation,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.MNPI,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.MandAMaterial,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.MortgageData,Financial,HIGH,APPROVAL,MONITOR
FIN.OFACScreeningResult,Financial,CRITICAL,BLOCK,APPROVAL
FIN.PEPRecord,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.PaymentApprovalDocument,Financial,CRITICAL,BLOCK,APPROVAL
FIN.PreReleaseFinancials,Financial,CRITICAL,BLOCK,MONITOR
FIN.PrimeBrokerageData,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.ProspectusDraft,Financial,CRITICAL,BLOCK,MONITOR
FIN.RegulatoryFiling,Financial,CRITICAL,BLOCK,APPROVAL
FIN.ResearchEmbargo,Financial,CRITICAL,BLOCK,SEMANTIC CLASSIFIER
FIN.SARReference,Financial,CRITICAL,BLOCK,APPROVAL
FIN.SOXControlEvidence,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.SettlementInstruction,Financial,CRITICAL,BLOCK,MONITOR
FIN.TreasuryOperationRecord,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.W9W8Form,Financial,HIGH,APPROVAL,SEMANTIC CLASSIFIER
FIN.WireInstruction,Financial,CRITICAL,BLOCK,MONITOR
INS.ActuarialAssumption,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.AdjusterNotes,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.AnnuityContract,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.BrokerComm,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.CatastropheModel,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.CoverageDecision,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.CyberClaimData,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.DandOCoverage,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.DenialRationale,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.DisabilityClaimRecord,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.EndorsementRecord,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.FNOL,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.FraudInvestigation,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.IMEReport,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.ISOClaimSearchRecord,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.LifeInsuranceApp,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.LongtermCareAssessment,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.LossRunReport,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.MarketConductData,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.MedicalClaimRecord,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.NAICFiling,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.NICBReport,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.PremiumCalculation,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.PricingVariable,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.ProtectedClassProxy,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.RateFilingData,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.ReinsuranceAgreement,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.ReserveEstimate,Insurance,CRITICAL,BLOCK,LLM ADJUDICATION
INS.RiskClassification,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.RiskScore,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.SubrogationRecord,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.Telematics,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
INS.UnderwritingMemo,Insurance,HIGH,APPROVAL,HYBRID
INS.WorkersCompRecord,Insurance,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.AdvanceDirective,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.AllergyRecord,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.BillingCode,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.CarePlan,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.ClaimsData,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.ClinicalTrialData,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.ConsentForm,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.DICOMMetadata,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.DenialRationale,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.DeviceData,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.DischargeSummary,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.EOBDocument,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.EncounterNote,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.FHIRResource,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.GeneticData,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.HIVAIDSStatus,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.HL7Message,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.HomeHealthRecord,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.ImagingReport,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.ImmunizationRecord,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.LabResult,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
HC.PHI.MedicationList,Healthcare,HIGH,APPROVAL,LLM ADJUDICATION
HC.PHI.MentalHealthRecord,Healthcare,CRITICAL,BLOCK,LLM ADJUDICATION
